# 国家地名信息库·地名读音
# https://dmfw.mca.gov.cn/sound.html
#
# 地名	类型	读音
# standardName	placeType	romanAlphabetSpelling

敖包梁	农村居民点	Ôbôô Liáng / Ôbôôliáng / Ôbôô Nûrûû
啊色老窑子	农村居民点	Arslan Yáozǐ
阿巴嘎	山	Abga
敖包后沟	山谷、谷地	Ôbôô Hòu Gōu
敖其子沟	山谷、谷地	Aoqizi Gûû
敖包东沟	山谷、谷地	Ôbôô Dōng Gōu
阿木尔龙贵六社	农村居民点	Amarlanggûi Liùshè
阿木尔龙贵三社	农村居民点	Amarlanggûi Sānshè
阿木尔龙贵四社	农村居民点	Amarlanggûi Sìshè
阿木尔龙贵五社	农村居民点	Amarlanggûi Wǔshè
阿木尔龙贵一社	农村居民点	Amarlanggûi Yīshè
阿日斯楞图音敖瑞	农村居民点	Arslantiin Ôrôi
阿木尔龙贵二社	农村居民点	Amarlanggûi Èrshè
阿木古楞	农村居民点	Amglang
阿给图	农村居民点	Agit
敖包梁	山谷、谷地	Ôbôô Liáng
阿木古郎图	山谷、谷地	Amûgûlangtû
阿钦沟	山谷、谷地	Aqin Gûû
敖包图沟	山谷、谷地	Ôbôôt Gûû
敖伦沟	山谷、谷地	Ôlan Gûû
阿斯尔	农村居民点	Asar
阿尔哈浅屯	农村居民点	Āěrhāqiǎntún
阿尔拉屯	农村居民点	Āěrlātún
阿日胡斯台沟里	山谷、谷地	Ar Hôstai Gōulǐ
安子梁村	农村居民点	Ānzǐliángcūn
阿日吉嘎日浑迪音道恩德阿查温都尔	山谷、谷地	Arjagar Hondin Dûnd Aq Ondor
敖伦浑迪	山谷、谷地	Ôlôn Hondi
安格日图淖日	湖泊	Anggirt Nûûr
阿巴嘎敖包	山	Abag Ôbôô
敖包沟	农村居民点	Ôbôô Gôô / Ôbôô Gōu / Áobāogōu
敖包吐	山	Ôbôôt
敖海池	农村居民点	Áohǎichí
昂其嘎查村民委员会	村民委员会	Angqi Xûgai Gaqaa Cūnmínwěiyuánhuì
敖包布朗嘎查村民委员会	村民委员会	Áobāobùlǎnggāchá Cūnmínwěiyuánhuì
敖包希热	农村居民点	Ôbôô Xiree
敖包营子	农村居民点	Ôbôô / Áobāoyíngzǐ
阿日嘎查村民委员会	村民委员会	Arin Nûûr Gaqaa Cūnmínwěiyuánhuì
阿曼乌素	农、林、牧场点	Aman Us
阿日其格	山	Aarqig
阿拉格嘎查	山	Alag Gaqaa
阿布日拉音哈雅	农、林、牧场点	Abarliin Hayaa
阿日毛都	农、林、牧场点	Ar Mod
阿拉嘎乌拉	山	Alaɡ Ûûl
敖润苏莫	农村居民点	Ôrôiin Som
敖汉旗	县级行政区	Aû Han Qí
敖吉村村民委员会	村民委员会	Ûuljar Cūn Cūnmínwěiyuánhuì
敖包村敖包	农村居民点	Ôbôô
阿布根艾勒嘎查	农村居民点	Abagiin'ailgacaa
阿贵扎拉格	盆地	Agûi Jalag
艾林扎拉格	盆地	Ailiin Jalag
阿不格沟	盆地	Aabag Gûû
阿尔宝力高	盆地	Ar Bôlag
阿尔吉哈达扎拉格	盆地	Arjii Had Jalag
爱莱代扎拉格	盆地	Aalidai Jalag
敖尼斯台扎拉格	盆地	Ônistai Jalag
敖塔辛巴润苏	盆地	Ôtaqiin Barûn Sôô
敖塔辛准苏	盆地	Ûtaqiin Jûûn Sôô
敖林格勒嘎查	农村居民点	Ȏrôin'gergacaa
阿力恩塔拉	草原	ālìēn Taal
阿格沁	农村居民点	Agtqin
敖轻乌兰楚鲁	山	Aqingen Ûlaan Qûlûû
敖扎拉嘎嘎查委员会	村民委员会	Ôjalag Gaqaa Wěiyuánhuì
敖格吉里哈德	山	Agejir Had
敖很达巴	山	Ôhan Dabaa
阿里乌拉	山	Ar Ûûl
敖包梁新村	农村居民点	Ôbôô Liángxīncūn
阿什泉林召	农村居民点	Axqôilang Jûû
艾日嘎图达坝	山峰	Airagt Dabaa
敖包山前	农村居民点	Ôbôôn Shānqián
阿鲁召	农村居民点	Ar Jûû
阿日宝力格	农村居民点	Ar Bûlag
敖包前村民委员会	村民委员会	Ôbôôt Qián Cūnmínwěiyuánhuì
敖包后村民委员会	村民委员会	Ôbôôt Hòu Cūnmínwěiyuánhuì
敖西尔山	山	Ôxir Shān
奥斯克图	山	Asigtu
敖仑陶勒盖	山	Ôlun Tolgai
敖尼斯台乌拉	山	Ôonistai Ûûl
敖拉扎拉格山	山	Ôlun Jalag Shān
敖林陶勒盖	山	Ôlun Tolgai
敖尼斯台	农村居民点	Ônistai
敖西尔	农村居民点	Ôxir
敖宝图敖瑞	山	Ôbôôt Ôrôi
敖力伯	农村居民点	Arbai
敖木根	农村居民点	Ômgn
阿力苏台音扎拉嘎	农村居民点	Alistai
敖宝艾勒	农村居民点	Ôbôôail
阿杜呼都嘎	农村居民点	Aadûûhûdag
阿贵扎拉嘎	农村居民点	Agûijalag
昂台	山	Agtai
阿吐查干乌拉	山	ātǔchágàn Ûûl
昂代山	山	Agtai Shān
阿容乌和尔	山	Arnûhûr
阿勒得花	山	Alder Hûa
阿勒吉哈德	山	Alji Had
敖拉苏吐	山	Ûliyasctû
阿拉格包和	山	Alagbôh
阿拉坦额莫勒特乌拉	山	Alten Emlt Ûûl
阿尔斯兰哈德	山	Arslen Had
阿贵山	山	Agûi Shān
阿布乌拉	山	Aab Ûûl
阿卜乌拉	山	Aab Ûûl
敖罕艾勒	农村居民点	Ûûhan Ail
阿日高	盆地	Ar Gûû
阿勒坦芒哈	沙漠	Altan Manh
阿如音乌素	草原	Arûin Ûs
凹岭红	山	Āolǐnghóng
傲垴	山	Àonǎo
安平村民委员会	村民委员会	Ānpíng Cūnmínwěiyuánhuì
敖楞布拉格牧场	农村居民点	Ôlônbûlag Mùchǎng
敖瑞查干芒合	沙漠	Ôrai Qagaan Mangha
阿敦陶亥	河湾	Adûntôhai
敖木白淖尔	湖泊	Ônbai Nûûr
敖包阿玛	山谷、谷地	Ôbôô Am
阿木布浑迪	山谷、谷地	Ambu Hondi
敖靠塔	农村居民点	Ôhin Môdûn Tal
阿贵庙村民委员会	村民委员会	Agûiin Sûm Cūnmínwěiyuánhuì
敖劳不拉村民委员会	村民委员会	Ôlan Bûlag Cūnmínwěiyuánhuì
阿拉格陶勒盖	山	Alag Tôlgôi / Alag Tôlgai
阿日斯郎音敖瑞	山	Arslangiin Ôrôi
阿贵音敖瑞	草原	Agûin Ôrôi
阿勒太音希里	草原	Altain Xil
阿毛朗音敖瑞	山	Amaglangiin Ôrôi
阿古如图音敖瑞	山	Aguurtiin Ôrôi
敖包音柴达木	草原	Ôwôôn Qaidam
阿巴音呼德	草原	Awiin Hodoo
敖包音哈日陶勒盖	山	Ôwôôn Har Tôlgôi
阿勒马音壕赖	草原	Alman Hôôlôi
敖包音特库木	草原	Ôwôôn Tohom
阿布德尔楚鲁	山	Abdar Qûlûû
阿嘎坦花嘎查	村民委员会	Agtan Hûa Gaqaa
敖拉西街	次干路	Áolā Xījiē
爱晖北路一巷	支路	Àihuī Běilù 1 Xiàng
爱晖北路二巷	支路	Àihuī Běilù 2 Xiàng
安都日拉牧业社	农村居民点	Andûûrla Mùyèshè
阿希瓦音柴达木	湿地（沼泽）	Axiwa In Qaidam
阿日查图柴达木	湿地（沼泽）	Arqat Qaidam
阿拉格毛日音苏巴格	湿地（沼泽）	Alag Môrin Sûbag
阿敦陶亥牧业社	农村居民点	Adûn Tôhai Mùyèshè
敖包坑	湿地（沼泽）	Ôbôô Kēng
安图桑阿木吉	湖泊	Antsang Amj
阿日勒其阿木吉	湖泊	Aralq Amj
阿克其呼勒冲	湿地（沼泽）	Akqi Hol
阿彦浅新村屯	农村居民点	Āyànqiǎnxīncūntún
阿塔屯	农村居民点	Ātǎtún
阿米拉沃尔奇屯	农村居民点	Āmǐlāwòěrqítún
安头	农村居民点	Āntóu
阿贵乌拉	山峰	Agûi Ûûl
阿拉坦敖希特嘎查委员会	村民委员会	Altan Ôd Gaqaa Wěiyuánhuì
阿贵图嘎查委员会	村民委员会	Aguit Gaqaa Wěiyuánhuì / Agûit Gaqaanai Joblel
阿萨来洪克日	山峰	Asalai Hônghôr
敖伦浑迪西架子山	山峰	Ôlôn Hondi Xījiàzǐ Shān
阿尔善诺尔嘎查委员会	村民委员会	Arxaan Nûûr Gaqaa Wěiyuánhuì
敖瑞音那日斯	山峰	Ôrôin Nars
安塔哈屯	农村居民点	Āntǎhātún
敖木格廷布拉格	泉	Ômôgtiin Bûlag
阿达盖音布拉格	泉	Adgaiin Bûlag
安家圪旦	农村居民点	Ānjiāgēdàn
阿日布来尔浑迪	山谷、谷地	Arablar Hondi
阿日吉嘎日浑迪	山谷、谷地	Araljigar Hondi
敖门浑迪	山谷、谷地	Emen Hondi
阿木吉扎勒嘎	山谷、谷地	Amj Jalag
艾里社区居民委员会	社区居委会（居委会）	Ail Shèqū Jūmínwěiyuánhuì
安门社区居民委员会	社区居委会（居委会）	Aman Shèqū Jūmínwěiyuánhuì
阿日格廷浑迪	山谷、谷地	Argin Hondi
阿德利亚阿德格	山谷、谷地	Adûlyaa Adag
阿嘎坦花	农村居民点	Agtan Hûa
阿拉坦浑迪	山谷、谷地	Altan Hondei
昂嘎阿日本古尔班格日	山谷、谷地	Angga Arban Gûrban Ger
阿伊图音浑迪	山谷、谷地	Ayatin Hondi
敖勒高浑	山谷、谷地	Ôlgôôn
敖伊木扎拉嘎	山谷、谷地	Ôim Jalag
阿必德浑迪	山谷、谷地	Abid Hondi
阿木古楞	平原	Amgûlag
阿日音舒林浑迪	山谷、谷地	Arìyīnshūlín Hundii
艾来浑迪	山谷、谷地	Alai Hondei
阿德尔嘎	山	Adaraɡ
敖伦陶勒盖	山	Ôlôn Tôlgôô
敖日其格音塔拉	农、林、牧场点	Oorqigiin Tal
阿日查音高勒	农、林、牧场点	Arqiin Gol
阿格如	农、林、牧场点	Agrûû
阿尔钦高勒	农、林、牧场点	Arqiin Gol
敖汗淖尔	农、林、牧场点	Uhaan Nuur
阿尔山浑迪	山谷、谷地	Arxan Hondi
敖日汗高勒	山	Orhon Gol
阿日音赛日	山	Ariin Sair
阿敦楚鲁	山	Aduun Quluu / Adûûn Qûlûû
阿尔嘎拉图	山	Argalt
阿日善图	山	Arxaant
阿拉格	山	Alag
阿日孙都勒	山	Ar Sunduul
阿吉日嘎廷浑迪	山谷、谷地	Ajirgiin hundii
阿莫黑水泡子	湖泊	Umhii Shuǐpàozǐ
阿林温都日	山	Ariin Onder
阿拉格温都日	山	Alag Onder
阿查乃淖日	湖泊	Aqnai Nûûr
阿日珠斯木勒	农、林、牧场点	Ar Jusmal
敖包乌素	农、林、牧场点	Oboon Us
敖热包其	农、林、牧场点	Orôiin Buuq
阿日嘎查	农、林、牧场点	Ar Gaqaa
阿日布拉格淖日	湖泊	Ar Bûlag Nûûr
阿日鲁图	山	Aralt
阿尔其口	农、林、牧场点	Arqiin Am
阿门尼乌尔腾	农、林、牧场点	Amiin Urteng
阿日宝日特格	农、林、牧场点	Ar Bor Teeg
阿日哈雅图	农、林、牧场点	Ar Hayaat
昂特	农、林、牧场点	Onit
阿不盖	农、林、牧场点	Agui
阿荣路	主干路	Ariun Lù
敖包图哈勒曾	沙漠	Ôbôôt Haljin
敖包图哈日	沙漠	Ôbôôt Har
敖勒斯图	沙漠	Ôlôst
阿敦恰布恰勒	沙漠	Sduun Qabqil
阿德根查干	沙漠	Adagin Qagan
艾布勒陶勒盖	沙漠	Aibal Tôlgôi
敖普图	沙漠	Ôbôt
敖勒森	沙漠	Ôlsôn
阿雅嘎布日	农村居民点	Ayag Bûûr
凹里山	山	Wālǐ Shān
安家沟	山	Ānjiā Gōu
阿日色日音超浩	沙漠	Ar Seerin Qôhôô
敖包图呼仍	山	Ôbôôt Hureng
阿格廷哈沙	戈壁	Agitin Haxaa
敖包图乌兰	山	Ôbôôt Ûlaan
阿给廷高勒	戈壁	Agitin Gôl
安居路	次干路	Ānjū Lù
安宁北路	次干路	Ānníng Běilù
安宁路	次干路	Ānníng Lù
阿拉腾特布希	沙漠	Altan Tebxi
敖勒森哈沙	沙漠	Ôlsôn Haxaa
敖日勒根	沙漠	Ôrôlgôn
敖包图哈日	山	Ôbôôt Har
傲日勒根	沙漠	Ôrôlgôn
阿拉格超浩	沙漠	Alag Qôhôô
敖日格林哈日	山	Ôrgilin Har
阿雅嘎布日	山	Ayag Bûûr
敖伦淖尔浩特	农村居民点	Ôlôn Nûûr Hôt
敖伦淖尔嘎查委员会巴彦查干浩特	农村居民点	Ôlan Nûûr Gaqaanai Joblel Bayan Qagan Hôt
阿拉塔图浩特	农村居民点	Altad Hôt
阿布达日图	山	Abdart
阿日宝拉格浩特	农村居民点	Ar Bûlag Hôt / Arbûlag Hôt
敖恩其盖海日罕乌拉	山	Onqagai Harhan Ôol
敖伦萨拉图	山谷、谷地	Ôlôn Salaat
阿斯很敖瑞	山	Ashan Ôrai
敖其日珠日和	山	Ôqir Jurehe
敖日布格	农村居民点	Ôrbôg
阿拉坦嘎达苏	山	Altan Gadas
阿日哈日额日格浩特	农村居民点	Ar Har Erg Hôt
敖伦乃沃博勒哲浩特	农村居民点	Ôlonnai Oboliee Hôt
阿日拉嘎浩特	农村居民点	Ar Lag Hôt
昂格日哈浑迪	山谷、谷地	Aanggarhai Hondei
阿拉嘎毛仁陶勒盖	山	Alag Môrin Tôlgai
阿尔斯楞图	山	Arslangt
敖日吉音查干	沙漠	Nôrjin Qagaan
阿日呼布乌拉	山	Ar Hob Ûûl
阿拉塔图	山	Altat
阿拉坦乌拉	农村居民点	Altan Ûûl
阿拉坦花	农村居民点	Altan Hûa
敖格钦	沙漠	Ôgqin
阿日辛迪图	沙漠	Ar Xindet
阿木嘎浑迪	山谷、谷地	Amga Hondi
安尼金斯基岛	洲、河岛	Anjis Dǎo
安民村民委员会	村民委员会	Ānmín Cūnmínwěiyuánhuì
阿林召村民委员会	村民委员会	Arinjuu Cūnmínwěiyuánhuì
阿凌河	河流	Alig Hé
阿里亚河	河流	Aliyaa Hé
安格林河	河流	Angal Hé
阿敦呼都嘎嘎查阿日宝拉格	湖泊	Adûûnhûdaggaqaaarbûlag
安班夏日嘎查委员会	村民委员会	Ambanxargaqaanaiardiinjoblol
阿日宝拉格嘎查委员会	村民委员会	Arbûlaggaqaanaiardiinjoblol / Arbûlag Gaqaa Wěiyuánhuì
敖伦毛都嘎查委员会	村民委员会	Ôlônmôdgaqaanaijoblol
阿敦呼都嘎嘎查委员会	村民委员会	Adûûnhûdaggaqaanaijoblol
阿木古楞路	主干路	Amgalangjam
敖包希热北胡同	支路	Ôbôônxireehôitgûdamj
敖包希热南胡同	支路	Ôbôônxireeomongûdamj
敖包山	农村居民点	Ôbôôn Ûûl
阿拉坦社区居民委员会	社区居委会（居委会）	Altɑn Shèqū Jūmínwěiyuánhuì
墺垴山森林	森林	Àonǎo Shān Sēnlín
安风沟	山谷、谷地	Ānfēng Gōu
安峰沟	山谷、谷地	Ānfēng Gōu
阿日扎木音呼都格	山	Ar Jamiin Hudag
敖包恩格日	山	Oboon Engger
敖包图霍托勒	山	Oboot Hotol
阿拉格敖包	山	Alag Oboo
阿尔呼都格	山	Ar Hudag
敖脑图	山	Onot
阿都哈达	山	Aduun Had
阿日希音乌拉	山	Arqiin Uul
敖得林达巴	山	Odliin Dabaa
阿尔达巴	山	Ar Dabaa
敖日很	山	Orhon
阿怪陶勒盖	山	Agui Tolgoi
敖包图浩特	农村居民点	Ôbôôt Hôt
阿日查敖包	山	Arqaa Ôbôô
阿敦淖尔	山	Aduun Nuur
阿日其山	山	Arqiin Uul
敖恩呼尔额日格	山	Onghor Ereg
阿日格楞图	山峰	Argalangt
阿墩楚鲁乃阿木	山峰	Aduun Quluunai Am
阿日乌金岱浩特	农村居民点	Ar Ujindai Hôt
敖劳木淖尔	湖泊	Olom Nûûr
敖日嘎音夏日浩特	农村居民点	Ûrgiin Xar Hôt
敖恩图	山	Ôngt
阿达日嘎嘎查委员会	村民委员会	Adargrgaqaa Wěiyuánhuì
阿布达日图哈达	山	Abdart Had
敖包沟	山谷、谷地	Ôbôô Gôô / Áobāo Gōu / Ôbôô Gōu
敖包梁	山	Ôbôô Nûrûû / Ôbôôt Liáng
敖德拉图浩特	农村居民点	Ôdôlt Hôt
阿吉奈音超浩	沙漠	Ajinain Qôhôô
敖恩图	农、林、牧场点	Onit
敖日吉音布拉格	农、林、牧场点	Oôrjiin Bulag
阿尔善图	农、林、牧场点	Arxaant
阿吉日嘎	农、林、牧场点	Ajirag
敖包湾	农村居民点	Ôbôô Wān
敖包渠	农村居民点	Ôbôô Qú
安格尔日图嘎查	村民委员会	Angart Gaqaa
敖恩根哈达	山体	Ôngôn Had
阿尔山嘎查	村民委员会	Arxaan Gaqaa
敖瑞音冈嘎	山坡	Ôrôiin Gangga
阿给图花	山坡	Agd Hûa
阿给特	山坡	Agt
阿贵特	农、林、牧场点	Aguit
阿拉点素	农村居民点	Ar Ders
敖包墕	农村居民点	Ôbôô Yàn / Ôbôô Yān
敖包壕	农村居民点	Ôbôôn Háo / Ôbôô Háo
阿日柴达木三社	农村居民点	Ar Qaidam Sānshè
阿木斯尔嘎查	村民委员会	Amsar Gaqaa
阿日珠斯木勒	草原	Ar Jusmal
敖勒斯台敖包	农、林、牧场点	Olôstai Ôbôô
阿毕雅斯音高勒	河流	Abiyas Gôl
阿日柴达木十二社	农村居民点	Ar Qaidam Shí'èrshè
阿日柴达木十三社	农村居民点	Ar Qaidam Shísānshè
阿日柴达木十社	农村居民点	Ar Qaidam Shíshè
阿日柴达木十一社	农村居民点	Ar Qaidam Shíyīshè
阿日柴达木四社	农村居民点	Ar Qaidam Sìshè
阿日柴达木五社	农村居民点	Ar Qaidam Wǔshè
阿日斯楞图苏木	乡级行政区	Arslant Sûm
阿日音公	农村居民点	Ariin Gun
阿如乌和尔图	农村居民点	Ar Uhert
阿日柴达木一社	农村居民点	Ar Qaidam Yīshè
敖楞陶勒更	农村居民点	Ôlôn Tôôrôi
阿门其日格乡	乡级行政区	Amanqarag Xiāng
阿日其乃浑迪	河流	Arqanii Hôndii
阿日浑迪	河流	Ar Hôndii / Ar Hundi
阿拉格敖包	农、林、牧场点	Alagiin Ôbôô
阿拉腾哈拉嘎嘎查	村民委员会	Altan Haalag Gaqaa
阿布达日哈达	山	Abdar Had
阿拉布尔村	村民委员会	Albûr Cūn
阿道亥村	村民委员会	Adûûhai Cūn
阿如吉达盖农业社	农村居民点	Ar Jadgai Nóngyèshè
敖包音锡力农业社	农村居民点	Ôbôôn Xil Nóngyèshè
敖包音柴达木农业社	农村居民点	Ôbôôn Qaidam Nóngyèshè
阿拉布日农业社	农村居民点	Albûrì Nóngyèshè
敖包柴达木农业社	农村居民点	Ôbôô Qaidam Nóngyèshè
阿贵音锡力牧业社	农村居民点	Agûin Xil Mùyèshè
阿如音柴达木牧业社	农村居民点	Arin Qaidam Mùyèshè
敖仑呼都格	农、林、牧场点	Olon Hûdag
阿拉腾呼舒乃高勒	河流	Altan Hûxûûnii Gôl
阿拉格巴音	山	Alag Bayan
阿日音滚	农、林、牧场点	Ariin Gun
阿布德仁呼都格	农、林、牧场点	Abdaran Hûdag
敖包梁农业社	农村居民点	Ôbôô Liángnóngyèshè
阿如柴达木农业社	农村居民点	Arqaidam Nóngyèshè
阿日哈拉盖特	河流	Ar Halgait
敖包乃杭德	农、林、牧场点	Ôbôônii Hônd
阿门乌素	农、林、牧场点	Aman Ûs / Amen Ûs
阿德格音查布其仁	农、林、牧场点	Adgiin Qabqaran
敖瑞音乌日腾	农、林、牧场点	Ôrôin Orton
阿布日勒图嘎查	村民委员会	Abralt Gaqaa
敖拉社区居民委员会	社区居委会（居委会）	Áolā Shèqūjūmínwěiyuánhuì
阿尔拉敖勒	山峰	Alal Ûûl
阿尔拉路一巷	次干路	Ā'ěrlā Lù 1 Xiàng
阿尔拉路二巷	次干路	Ā'ěrlā Lù 2 Xiàng
阿尔拉路三巷	次干路	Ā'ěrlā Lù 3 Xiàng
阿尔拉路四巷	次干路	Ā'ěrlā Lù 4 Xiàng
阿尔拉路五巷	次干路	Ā'ěrlā Lù 5 Xiàng
阿尔拉路六巷	次干路	Ā'ěrlā Lù 6 Xiàng
阿尔拉路	次干路	Ā'ěrlā Lù
敖日布格音淖日	农、林、牧场点	Orbogiin Nûûr
阿贵图音额和	农、林、牧场点	Aguitiin Eh
敖楞陶勒盖	农村居民点	Ôlôn Tôlgai
敖日格呼沟	河流	Oorgih Gōu / Ôôrgih Gōu
爱晖北路	次干路	Àihuī Běilù
敖拉东街	次干路	Áolā Dōngjiē
爱晖南路	次干路	Àihuī Nánlù
敖包音哈图林场	草原	Ôwôôn Hatûûgiin Ôi Xûgûin Talwai
敖特尔音扎达盖	草原	Ôtôriin Jadgai
阿吉日艾音敖瑞	山	Ajirain Ôrôi
敖日高其音敖瑞	草原	áorìgāoqíyīnáoruì
阿日勒音苏利图	草原	Araliin Sûlit
敖瑞音巴娃音敖瑞	山	Ôrôin Bawagiin Ôrôi
阿日勒音柴达木	草原	Araliin Qaidam
阿布达日陶勒盖	山	Awdar Tôlgôi
阿亚岱音敖瑞	山	Ayadain Xil
昂素镇	乡级行政区	Nangsû Zhèn
敖勒召其镇	乡级行政区	Ôljôq Zhèn
阿勒太音敖瑞	草原	Altain Ôrôi
艾沟	山谷、谷地	Àigōu
阿拉格东亥芒哈	沙漠	Alag Dûnhain Manh
安阳沟	山谷、谷地	Ānyánggōu
阿青图	山坡	Aqint
阿嘎如敖瑞	山	Agrûû Ôrôi
敖包图敖瑞	山	Ôbôôt Ôrôi
阿贵绍荣	山	Agui Xôrông
阿吉土东沟	山谷、谷地	Ajit Dōng Gōu
敖包力格	农村居民点	Ôbôôlig
